А-26;17;77;44;16;17;235;129;106;149;1,935
Б-25;16;61;26;23;12;130;138;-8;90;1,475
В-27;14;51;25;22;3;137;125;12;78;1,529
Б-24;13;54;26;17;11;143;100;43;89;1,648
СБО;10;41;6;18;5;82;97;-15;56;1,366
В-23;4;21;10;9;2;62;52;10;32;1,524
В-25;9;33;10;15;8;66;82;-16;38;1,156
Г-26;3;11;6;5;0;23;23;0;18;1,636
Г-28;3;11;4;6;1;22;32;-10;13;1,182
А-27;6;21;3;15;3;27;56;-29;12;0,571
Б-27;2;8;3;3;2;19;26;-7;11;1,375
Б-28;4;13;1;11;1;12;43;-31;4;0,308
А-28;5;18;1;15;2;30;80;-50;5;0,286
Г-29;1;3;0;3;0;5;12;-7;0;0,000
